model,gemma-3-4b-it-attn,gemma-2-9b-it-attn,gemma-3-12b-it-attn,gemma-2-27b-it-attn,gemma-3-27b-it-attn
gemma-3-4b-it-attn,1.0,0.9783764234508228,0.9546743518400483,0.9629686262458603,0.9155234264707078
gemma-2-9b-it-attn,0.9783764234508228,1.0,0.9539336308689442,0.9771859182139622,0.9443776671545738
gemma-3-12b-it-attn,0.9546743518400483,0.9539336308689442,1.0,0.9424625358761447,0.9120671527288406
gemma-2-27b-it-attn,0.9629686262458603,0.9771859182139622,0.9424625358761447,1.0,0.9705837337029259
gemma-3-27b-it-attn,0.9155234264707078,0.9443776671545738,0.9120671527288406,0.9705837337029259,1.0
