model,qwen2.5-7b-instruct-attn,qwen2.5-14b-instruct-attn,qwen2.5-32b-instruct-attn,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-32b-instruct-attn,qwen3-8b-attn,qwen3-14b-attn,qwen3-32b-attn
qwen2.5-7b-instruct-attn,1.0,0.9408102392745286,0.9312918646548441,0.941525614849229,0.8912800732920819,0.9002103913760123,0.9321298573193735,0.9204596471112927,0.9179271897356517
qwen2.5-14b-instruct-attn,0.9408102392745286,1.0,0.9779808994038247,0.9703172052198001,0.9313272540119011,0.9126439395342917,0.9609357797199506,0.9588864575470617,0.9512558697112679
qwen2.5-32b-instruct-attn,0.9312918646548441,0.9779808994038247,1.0,0.9663388986005046,0.9364150490184976,0.9314710234734083,0.9679335734732223,0.9618242425401562,0.9526616397348014
qwen2.5-coder-7b-instruct-attn,0.941525614849229,0.9703172052198001,0.9663388986005046,1.0,0.9191516127325946,0.9071634933359477,0.9451290859290077,0.9555364764997922,0.9594308475711785
qwen2.5-coder-14b-instruct-attn,0.8912800732920819,0.9313272540119011,0.9364150490184976,0.9191516127325946,1.0,0.9468592684415303,0.918339639582587,0.9124916944098445,0.8911321722373229
qwen2.5-coder-32b-instruct-attn,0.9002103913760123,0.9126439395342917,0.9314710234734083,0.9071634933359477,0.9468592684415303,1.0,0.9223779040458102,0.9037080821231119,0.8771622405380883
qwen3-8b-attn,0.9321298573193735,0.9609357797199506,0.9679335734732223,0.9451290859290077,0.918339639582587,0.9223779040458102,1.0,0.9679286747114743,0.946719581537602
qwen3-14b-attn,0.9204596471112927,0.9588864575470617,0.9618242425401562,0.9555364764997922,0.9124916944098445,0.9037080821231119,0.9679286747114743,1.0,0.9760536924961566
qwen3-32b-attn,0.9179271897356517,0.9512558697112679,0.9526616397348014,0.9594308475711785,0.8911321722373229,0.8771622405380883,0.946719581537602,0.9760536924961566,1.0
