model,model_group,params_b,depth_bin,depth_start,depth_end,heads_in_bin,selected_heads,selected_density,margin_mean_all,margin_mean_selected
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,1,0.1,0.2,200,1,0.005,0.009938566788709358,0.5681736656751788
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,2,0.2,0.3,200,3,0.015,0.01763206742564459,0.46962601702541645
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,3,0.3,0.4,160,9,0.05625,0.03868731343618269,0.53724189271264
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,4,0.4,0.5,200,15,0.075,0.09389366159310886,0.5134145346837933
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,5,0.5,0.6,200,16,0.08,0.11327030018995884,0.5983826934524314
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,6,0.6,0.7,160,2,0.0125,-0.006767332248130637,0.4824014138554932
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,7,0.7,0.8,200,0,0.0,-0.04881709711383889,
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,8,0.8,0.9,200,0,0.0,-0.08802528619971227,
qwen2.5-coder-14b-instruct-attn,Qwen2.5-Coder,14.0,9,0.9,1.0,200,0,0.0,-0.11630320471188817,
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,0,0.0,0.1,280,0,0.0,-0.07533973685308941,
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,1,0.1,0.2,240,0,0.0,-0.03311855543073764,
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,2,0.2,0.3,240,5,0.020833333333333332,-0.0070727331029606,0.44961823737651596
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,3,0.3,0.4,280,14,0.05,0.03635170420070462,0.5428983565914275
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,4,0.4,0.5,240,21,0.0875,0.10495909016894739,0.6291017147701984
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,5,0.5,0.6,240,14,0.058333333333333334,0.0470599592642477,0.5858875674772769
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,6,0.6,0.7,280,21,0.075,0.09605481505060948,0.5714045211986475
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,7,0.7,0.8,240,17,0.07083333333333333,0.07540492641099844,0.6205321492077903
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,8,0.8,0.9,240,18,0.075,0.067469268879168,0.715733222368439
qwen2.5-coder-32b-instruct-attn,Qwen2.5-Coder,32.0,9,0.9,1.0,280,8,0.02857142857142857,0.04743972026420262,0.7310492412437559
qwen3-8b-attn,Qwen3,8.0,0,0.0,0.1,128,0,0.0,-0.05961681761821201,
