family,generation,variant,models,mean_params_b,mean_auc,mean_auprc,mean_fpr,mean_fnr,mean_risk_delta,mean_selected_fraction,mean_selected_depth
Qwen,Qwen2.5,base,1,7.0,0.9330357142857143,0.9454148792446863,0.125,0.13333333333333333,0.28727853179291174,0.007653061224489796,0.5740740740740741
Qwen,Qwen2.5,instruct,1,7.0,0.9744047619047618,0.9796634562077727,0.07142857142857142,0.1,0.32387015405771463,0.030612244897959183,0.5030864197530863
