run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,instruction_mass_delta_bin_0,instruction_mass_delta_bin_1,instruction_mass_delta_bin_2,instruction_mass_delta_bin_3,instruction_mass_delta_bin_4,instruction_mass_delta_bin_5,instruction_mass_delta_bin_6,instruction_mass_delta_bin_7,instruction_mass_delta_bin_8,instruction_mass_delta_bin_9,data_mass_delta_bin_0,data_mass_delta_bin_1,data_mass_delta_bin_2,data_mass_delta_bin_3,data_mass_delta_bin_4,data_mass_delta_bin_5,data_mass_delta_bin_6,data_mass_delta_bin_7,data_mass_delta_bin_8,data_mass_delta_bin_9,normalized_instruction_ratio_delta_bin_0,normalized_instruction_ratio_delta_bin_1,normalized_instruction_ratio_delta_bin_2,normalized_instruction_ratio_delta_bin_3,normalized_instruction_ratio_delta_bin_4,normalized_instruction_ratio_delta_bin_5,normalized_instruction_ratio_delta_bin_6,normalized_instruction_ratio_delta_bin_7,normalized_instruction_ratio_delta_bin_8,normalized_instruction_ratio_delta_bin_9,entropy_delta_bin_0,entropy_delta_bin_1,entropy_delta_bin_2,entropy_delta_bin_3,entropy_delta_bin_4,entropy_delta_bin_5,entropy_delta_bin_6,entropy_delta_bin_7,entropy_delta_bin_8,entropy_delta_bin_9,selected_density_bin_0,margin_mean_all_bin_0,selected_density_bin_1,margin_mean_all_bin_1,selected_density_bin_2,margin_mean_all_bin_2,selected_density_bin_3,margin_mean_all_bin_3,selected_density_bin_4,margin_mean_all_bin_4,selected_density_bin_5,margin_mean_all_bin_5,selected_density_bin_6,margin_mean_all_bin_6,selected_density_bin_7,margin_mean_all_bin_7,selected_density_bin_8,margin_mean_all_bin_8,selected_density_bin_9,margin_mean_all_bin_9
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-0.9999999999999994,0.0,-1.0,0.0,-0.9999999999999998,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0000000000000002
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0000000000000007,0.0,0.9999999999999998,0.0,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999
