run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,num_prompts,shared_prompts,num_spans,attention_keys,attention_shape,head_selection_run_id
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x28x28,qwen-phase2-qwen2.5-7b-head-selection
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x28x28,qwen-phase2-qwen2.5-7b-instruct-head-selection
