model_a,model_b,display_model_a,display_model_b,family_a,family_b,generation_a,generation_b,variant_a,variant_b,params_b_a,params_b_b,same_shape,same_qwen25_size,selected_a,selected_b,exact_overlap,exact_jaccard,normalized_depth_density_cosine,normalized_depth_bin_jaccard,signature_cosine
qwen3-8b-attn,gemma-2-9b-it-attn,qwen3-8b,gemma-2-9b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,8.0,9.0,False,False,40,24,,,0.9314423850220651,0.8333333333333334,-0.1487273176092716
qwen3-8b-attn,gemma-2-27b-it-attn,qwen3-8b,gemma-2-27b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,8.0,27.0,False,False,40,53,,,0.7109748867936478,0.8333333333333334,-0.09462275474908123
qwen3-8b-attn,gemma-3-4b-it-attn,qwen3-8b,gemma-3-4b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,8.0,4.0,False,False,40,17,,,0.7325757513718942,0.8333333333333334,-0.08843470942789511
qwen3-8b-attn,gemma-3-12b-it-attn,qwen3-8b,gemma-3-12b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,8.0,12.0,False,False,40,25,,,0.8543997145060542,0.625,-0.029044321157986743
qwen3-8b-attn,gemma-3-27b-it-attn,qwen3-8b,gemma-3-27b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,8.0,27.0,False,False,40,43,,,0.6332278983361164,0.5714285714285714,-0.0692515017456682
qwen3-14b-attn,qwen3-32b-attn,qwen3-14b,qwen3-32b,Qwen,Qwen,Qwen3,Qwen3,base,base,14.0,32.0,False,False,63,36,,,0.6468916934299253,0.8571428571428571,0.08996835158925723
qwen3-14b-attn,gemma-2-9b-it-attn,qwen3-14b,gemma-2-9b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,14.0,9.0,False,False,63,24,,,0.8894553650723752,1.0,0.06691747252887979
qwen3-14b-attn,gemma-2-27b-it-attn,qwen3-14b,gemma-2-27b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,14.0,27.0,False,False,63,53,,,0.9004986187896548,0.7142857142857143,-0.11847415565426904
qwen3-14b-attn,gemma-3-4b-it-attn,qwen3-14b,gemma-3-4b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,14.0,4.0,False,False,63,17,,,0.7803790575063676,0.7142857142857143,-0.09540151171273215
qwen3-14b-attn,gemma-3-12b-it-attn,qwen3-14b,gemma-3-12b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,14.0,12.0,False,False,63,25,,,0.8877298718682015,0.75,-0.16781256389890728
qwen3-14b-attn,gemma-3-27b-it-attn,qwen3-14b,gemma-3-27b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,14.0,27.0,False,False,63,43,,,0.8205830543887139,0.5,-0.1494252372833431
qwen3-32b-attn,gemma-2-9b-it-attn,qwen3-32b,gemma-2-9b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,32.0,9.0,False,False,36,24,,,0.6479887309581325,0.8571428571428571,-0.34526057401201077
qwen3-32b-attn,gemma-2-27b-it-attn,qwen3-32b,gemma-2-27b-it,Qwen,Gemma,Qwen3,Gemma2,base,it,32.0,27.0,False,False,36,53,,,0.7049888680633024,0.8571428571428571,-0.3689943073993112
qwen3-32b-attn,gemma-3-4b-it-attn,qwen3-32b,gemma-3-4b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,32.0,4.0,False,False,36,17,,,0.6723895474570939,0.625,-0.459499611332662
qwen3-32b-attn,gemma-3-12b-it-attn,qwen3-32b,gemma-3-12b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,32.0,12.0,False,False,36,25,,,0.6344413625763665,0.6666666666666666,-0.3290921821578008
qwen3-32b-attn,gemma-3-27b-it-attn,qwen3-32b,gemma-3-27b-it,Qwen,Gemma,Qwen3,Gemma3,base,it,32.0,27.0,False,False,36,43,,,0.6182030461404142,0.625,-0.19176564882323363
gemma-2-9b-it-attn,gemma-2-27b-it-attn,gemma-2-9b-it,gemma-2-27b-it,Gemma,Gemma,Gemma2,Gemma2,it,it,9.0,27.0,False,False,24,53,,,0.7923664027283965,0.7142857142857143,0.5604569923479464
gemma-2-9b-it-attn,gemma-3-4b-it-attn,gemma-2-9b-it,gemma-3-4b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,9.0,4.0,False,False,24,17,,,0.8732020484423711,0.7142857142857143,0.4989927596711891
gemma-2-9b-it-attn,gemma-3-12b-it-attn,gemma-2-9b-it,gemma-3-12b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,9.0,12.0,False,False,24,25,,,0.9086649909441012,0.75,0.5992382372916638
gemma-2-9b-it-attn,gemma-3-27b-it-attn,gemma-2-9b-it,gemma-3-27b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,9.0,27.0,False,False,24,43,,,0.6666020867882565,0.5,0.3027831390538482
gemma-2-27b-it-attn,gemma-3-4b-it-attn,gemma-2-27b-it,gemma-3-4b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,27.0,4.0,False,False,53,17,,,0.9001145322966286,0.7142857142857143,0.4914002281004305
gemma-2-27b-it-attn,gemma-3-12b-it-attn,gemma-2-27b-it,gemma-3-12b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,27.0,12.0,False,False,53,25,,,0.8746742524448148,0.5555555555555556,0.5987700125100452
gemma-2-27b-it-attn,gemma-3-27b-it-attn,gemma-2-27b-it,gemma-3-27b-it,Gemma,Gemma,Gemma2,Gemma3,it,it,27.0,27.0,False,False,53,43,,,0.9649928389466277,0.7142857142857143,0.6289964814960551
gemma-3-4b-it-attn,gemma-3-12b-it-attn,gemma-3-4b-it,gemma-3-12b-it,Gemma,Gemma,Gemma3,Gemma3,it,it,4.0,12.0,False,False,17,25,,,0.8975858493340956,0.75,0.5673054456779125
gemma-3-4b-it-attn,gemma-3-27b-it-attn,gemma-3-4b-it,gemma-3-27b-it,Gemma,Gemma,Gemma3,Gemma3,it,it,4.0,27.0,False,False,17,43,,,0.8321778017812677,0.5,0.1568157680678003
gemma-3-12b-it-attn,gemma-3-27b-it-attn,gemma-3-12b-it,gemma-3-27b-it,Gemma,Gemma,Gemma3,Gemma3,it,it,12.0,27.0,False,False,25,43,,,0.8111651995918461,0.4,0.5263765799772959
