params_b,variant_a,variant_b,model_a,model_b,auc_delta_b_minus_a,fpr_delta_b_minus_a,fnr_delta_b_minus_a,risk_delta_b_minus_a,attack_instruction_ratio_delta_b_minus_a,selected_fraction_delta_b_minus_a,selected_depth_delta_b_minus_a,exact_head_jaccard,normalized_depth_cosine,signature_cosine
7.0,base,instruct,qwen2.5-7b-attn,qwen2.5-7b-instruct-attn,0.04136904761904747,-0.053571428571428575,-0.033333333333333326,0.03659162226480289,-0.40731882136315106,0.022959183673469385,-0.07098765432098775,0.15384615384615385,0.41640649388658973,-0.1496729957033788
14.0,base,instruct,qwen2.5-14b-attn,qwen2.5-14b-instruct-attn,0.125,0.2857142857142857,-0.5,0.13926380521405457,-0.521227151590089,0.02708333333333333,-0.03902646979033447,0.07692307692307693,0.32996724011371104,0.16539569503782287
32.0,base,instruct,qwen2.5-32b-attn,qwen2.5-32b-instruct-attn,0.12738095238095248,0.4642857142857143,-0.6666666666666666,0.1893083374018461,-0.4979154283180832,0.03671875,0.13025074764205208,0.10569105691056911,0.7971863223207905,-0.14566293541248349
