family,generation,variant,models,mean_params_b,mean_auc,mean_auprc,mean_fpr,mean_fnr,mean_risk_delta,mean_selected_fraction,mean_selected_depth
Gemma,Gemma2,it,2,18.0,0.9888392857142857,0.9902187269045305,0.4107142857142857,0.0,0.41513698709075575,0.0358598602484472,0.4306910569105692
Gemma,Gemma3,it,3,14.333333333333334,0.9819444444444446,0.9852836403303765,0.4285714285714286,0.016666666666666666,0.37092919949571623,0.038908490143369175,0.4349936573510551
Qwen,Qwen2.5,base,3,17.666666666666668,0.8863095238095239,0.9159613441803428,0.041666666666666664,0.4333333333333333,0.20579306005321954,0.006847895408163266,0.4658899020601148
Qwen,Qwen2.5,coder-instruct,3,17.666666666666668,0.9765873015873016,0.9814709918415803,0.4702380952380952,0.011111111111111112,0.35106322783897403,0.03525545634920635,0.5059196849637276
Qwen,Qwen2.5,instruct,3,17.666666666666668,0.9842261904761904,0.9869766349699732,0.2738095238095238,0.03333333333333333,0.32751431501345407,0.035768317743764176,0.4726354432370248
Qwen,Qwen3,base,3,18.0,0.9934523809523809,0.9949325659318203,0.07142857142857144,0.02777777777777778,0.4446663258631541,0.027628761574074078,0.4822303622303623
