run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,metric,depth_bin,depth_start,depth_end,benign_mean,attack_mean,delta_attack_minus_benign,abs_delta
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,data_mass,9,0.9,1.0,0.2536465525627136,0.35760369896888733,0.1039571464061737,0.1039571464061737
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,0,0.0,0.1,0.16251608729362488,0.10401196032762527,-0.0585041269659996,0.0585041269659996
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,1,0.1,0.2,0.6333324313163757,0.5867449641227722,-0.046587467193603516,0.046587467193603516
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,2,0.2,0.3,0.8557285070419312,0.807936429977417,-0.04779207706451416,0.04779207706451416
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,3,0.3,0.4,0.7983032464981079,0.74882972240448,-0.04947352409362793,0.04947352409362793
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,4,0.4,0.5,0.6800882816314697,0.5402932167053223,-0.13979506492614746,0.13979506492614746
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,5,0.5,0.6,0.6746488213539124,0.5715686678886414,-0.103080153465271,0.103080153465271
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,6,0.6,0.7,0.6068410873413086,0.5234554409980774,-0.0833856463432312,0.0833856463432312
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,7,0.7,0.8,0.600110650062561,0.533034086227417,-0.06707656383514404,0.06707656383514404
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,8,0.8,0.9,0.6938638091087341,0.6394009590148926,-0.05446285009384155,0.05446285009384155
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,normalized_instruction_ratio,9,0.9,1.0,0.6106051206588745,0.503894567489624,-0.10671055316925049,0.10671055316925049
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,0,0.0,0.1,0.6536800861358643,0.6517854928970337,-0.0018945932388305664,0.0018945932388305664
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,1,0.1,0.2,0.41317135095596313,0.4096642732620239,-0.003507077693939209,0.003507077693939209
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,2,0.2,0.3,0.3626897931098938,0.3565753698348999,-0.0061144232749938965,0.0061144232749938965
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,3,0.3,0.4,0.45585736632347107,0.42164772748947144,-0.034209638833999634,0.034209638833999634
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,4,0.4,0.5,0.5620037913322449,0.5681428909301758,0.006139099597930908,0.006139099597930908
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,5,0.5,0.6,0.5227920413017273,0.5152930021286011,-0.007499039173126221,0.007499039173126221
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,6,0.6,0.7,0.5512439012527466,0.5300576686859131,-0.021186232566833496,0.021186232566833496
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,7,0.7,0.8,0.5632911920547485,0.5422362089157104,-0.021054983139038086,0.021054983139038086
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,8,0.8,0.9,0.4540174901485443,0.44672009348869324,-0.007297396659851074,0.007297396659851074
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,entropy,9,0.9,1.0,0.4990992546081543,0.525068461894989,0.025969207286834717,0.025969207286834717
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,0,0.0,0.1,0.06467623263597488,0.04580241069197655,-0.018873821943998337,0.018873821943998337
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,1,0.1,0.2,0.7714015245437622,0.7465189099311829,-0.024882614612579346,0.024882614612579346
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,2,0.2,0.3,0.8165256977081299,0.806691586971283,-0.009834110736846924,0.009834110736846924
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,3,0.3,0.4,0.7121520042419434,0.6904738545417786,-0.021678149700164795,0.021678149700164795
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,4,0.4,0.5,0.503942608833313,0.48950836062431335,-0.014434248208999634,0.014434248208999634
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,5,0.5,0.6,0.4959419369697571,0.45428064465522766,-0.04166129231452942,0.04166129231452942
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,6,0.6,0.7,0.4826974868774414,0.4493952691555023,-0.03330221772193909,0.03330221772193909
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,7,0.7,0.8,0.6482406258583069,0.6162547469139099,-0.03198587894439697,0.03198587894439697
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,8,0.8,0.9,0.6665930151939392,0.6353764533996582,-0.031216561794281006,0.031216561794281006
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,instruction_mass,9,0.9,1.0,0.45597267150878906,0.4184781014919281,-0.03749457001686096,0.03749457001686096
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,0,0.0,0.1,0.4634784460067749,0.5719792246818542,0.10850077867507935,0.10850077867507935
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,1,0.1,0.2,0.12009298801422119,0.1594514101743698,0.03935842216014862,0.03935842216014862
