run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,instruction_mass_delta_bin_0,instruction_mass_delta_bin_1,instruction_mass_delta_bin_2,instruction_mass_delta_bin_3,instruction_mass_delta_bin_4,instruction_mass_delta_bin_5,instruction_mass_delta_bin_6,instruction_mass_delta_bin_7,instruction_mass_delta_bin_8,instruction_mass_delta_bin_9,data_mass_delta_bin_0,data_mass_delta_bin_1,data_mass_delta_bin_2,data_mass_delta_bin_3,data_mass_delta_bin_4,data_mass_delta_bin_5,data_mass_delta_bin_6,data_mass_delta_bin_7,data_mass_delta_bin_8,data_mass_delta_bin_9,normalized_instruction_ratio_delta_bin_0,normalized_instruction_ratio_delta_bin_1,normalized_instruction_ratio_delta_bin_2,normalized_instruction_ratio_delta_bin_3,normalized_instruction_ratio_delta_bin_4,normalized_instruction_ratio_delta_bin_5,normalized_instruction_ratio_delta_bin_6,normalized_instruction_ratio_delta_bin_7,normalized_instruction_ratio_delta_bin_8,normalized_instruction_ratio_delta_bin_9,entropy_delta_bin_0,entropy_delta_bin_1,entropy_delta_bin_2,entropy_delta_bin_3,entropy_delta_bin_4,entropy_delta_bin_5,entropy_delta_bin_6,entropy_delta_bin_7,entropy_delta_bin_8,entropy_delta_bin_9,selected_density_bin_0,margin_mean_all_bin_0,selected_density_bin_1,margin_mean_all_bin_1,selected_density_bin_2,margin_mean_all_bin_2,selected_density_bin_3,margin_mean_all_bin_3,selected_density_bin_4,margin_mean_all_bin_4,selected_density_bin_5,margin_mean_all_bin_5,selected_density_bin_6,margin_mean_all_bin_6,selected_density_bin_7,margin_mean_all_bin_7,selected_density_bin_8,margin_mean_all_bin_8,selected_density_bin_9,margin_mean_all_bin_9
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,-1.705636176927363,-1.8406218836088752,-2.0447068740959655,0.7515704157312878,-2.8490888926379747,-2.8767279358780917,-1.5727649204418424,-1.7719347665691219,-1.5375211423964075,-2.766269194868525,-0.11019043917301684,0.08932849516435198,-0.40226290554401095,-0.9452512005843791,0.34955902307155107,-0.009345587522915148,-0.28822451086238304,0.33562537967203254,0.8420930081590638,2.022971616873522,1.5252033935041365,1.6731241496324343,1.4302795627157974,1.7695690153956927,0.5210330995942227,0.9752043807157789,0.9093458773829124,0.709718570520839,1.020887917701806,-0.22195007028822666,1.0488357526810936,0.8914737951188414,0.37010626824099196,-2.0105054807273923,1.6764622584377238,0.6939985666945592,0.045247142968465805,0.14064252622504866,0.53171011797637,1.7070693605519824,-0.33220529851337466,-1.7406226805676093,-0.7040552840915049,-1.0982238574882774,-0.8806502719476114,-1.2580674080363952,-1.3301095435148056,-1.721119771737613,-1.524825544229035,-1.3953160470124495,-0.2070564842278544,-0.8950093729078166,-1.121709175974301,-1.7102863663820014,-0.09538559979664245,-1.5441919389647998,-0.441485981502093,-2.076534592291177,-0.4329384732635961,-1.4995601427616843
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,-1.5864530786685385,-1.9494439904230845,0.17800941660571382,-0.7142604989557059,0.2632108861106997,-1.6200977681835698,-0.5530280188371491,-0.8674536868429367,-1.1829173270976616,-0.8402421060450507,0.3583375334412201,-0.658238550012253,-1.1514506270184965,-1.1508049979604524,-1.193733429491777,-0.23209224527557124,-0.3020272235529911,-0.06465575460028249,0.3815841423618061,0.17941568620286313,1.810686519680554,1.8192503087824536,1.8009682982176738,1.8692673444720245,2.0261740837527453,1.3595576450547315,1.332280691475729,1.0024951201105525,1.1745119912483368,1.3570550634905933,2.088011543888446,0.8392630810728037,-0.9629819523937213,-0.6405873945530238,-0.28764510439067703,0.7440353647350192,0.016647947612766945,0.702059610425038,0.35076485157989434,-0.05758549273693628,-0.33220529851337466,-0.7366380913819373,0.4007699309443953,-0.1839343891455382,-0.7494348516282051,-0.7720385827121562,-1.220082524564499,-1.4454767235948882,-1.7851065317722095,-1.8190150830228267,-0.8430930453842684,-1.2279710437399665,-0.8807644251783772,-1.8366183789682795,-0.748909104700591,-1.6583284864887309,-0.441485981502093,-1.6714076275847844,-0.4329384732635961,-1.8449006141645843
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,-2.5568318273135886,-1.851081360238434,-1.2454546467667713,-1.2353105225168075,0.9358423495394398,0.02876652332892889,-3.1307141590243153,-2.0031442496304077,-2.5966709160657615,-2.296834496146564,-0.06928257922288199,-0.812258251615943,-0.67298036862567,-0.8882149142228747,-1.134058713739137,-1.4076140023280153,1.5292479086510513,0.5904778980590749,1.8294034783708686,1.5394862701474248,1.8730577482289879,1.8986912477871987,1.5687869407274107,1.7588724503139568,1.9792238393694837,2.0260026616401987,-0.028396751353467347,0.6416293236970506,0.682660443876293,0.0021435970355393663,1.8461008977753308,1.0884559555930822,0.836757160152882,0.668156165387877,-0.732029248080071,-0.4217696742136364,1.621268000793321,1.0376166782656122,1.136720833769666,1.0608302228013458,1.2813632942658737,-0.27888674212607384,-0.7040552840915049,0.03727989241687933,-0.4432655375495907,-0.7874850973497568,-0.8900014677135792,-1.704617339381357,-1.147418112291432,-1.7954544954355212,-1.4289161938178077,-2.2901227518184633,-0.984026461233773,-2.1886218787037808,-0.748909104700591,-2.351487022625021,-0.441485981502093,-1.8512677977456053,-0.4329384732635961,-1.7093526025025514
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,-0.2997792344078214,0.5123999453510679,0.6835283741398539,0.8773886205109906,0.37008511199808974,0.8356779119858123,0.4109621841817744,0.9936657824840961,1.1983892645302257,0.8428343870792135,0.7223001602701924,0.6481790600437174,0.14730215909207778,-0.6185777604038282,0.019546337209104928,0.6473465894871794,0.7261347657763524,0.32025446070243646,-0.23729488220834702,0.41843220946693105,-0.2398198835281904,-0.21375428627119097,-0.08111854276102087,-0.04398581107937924,-0.7288879270100186,-0.009833087270547812,0.2673539479974846,0.7544705001535794,0.7331837129107638,1.7496082863210005,-0.36047612584431926,0.6534973853948146,0.8682151610681704,-0.31907183706266257,0.46093980408435786,1.1471376187045923,0.20896973287779896,1.6424974138107555,1.562291936500242,1.558185349391749,-0.33220529851337466,-0.529603766064652,-0.7040552840915049,-0.04728838061177081,-0.8806502719476114,0.13619278003229096,0.2417050129181456,0.6165252726703595,1.0779843312027093,0.76684766703251,-0.5418125690470197,0.016531603389077592,0.2551179714309781,0.49753001251725126,0.5581379051073062,0.9015512184603764,0.17369940255820057,0.17647901471873995,-0.4329384732635961,-0.07307039311564448
qwen-phase2-qwen2.5-14b-instruct-seed0-phase2,qwen2.5-14b-instruct-attn,qwen2.5-14b-instruct,Qwen/Qwen2.5-14B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,14.0,48,40,8bit,bfloat16,0.041904909558310756,0.65803940520845,0.8508319430460921,0.7916254175178815,0.7640187589041747,0.8552243502955725,0.9836381647489724,1.2728406223002051,1.2710757335287586,0.7759257758098783,1.1691041211937405,-0.4327775177153608,-0.5380446113820339,-0.5086638290375379,-0.6508651555363306,0.7205222802386642,-0.6337126464904623,-1.5077854481791222,-1.14344869890081,-0.2758295845388984,0.17972603753114869,-0.3835923931279531,0.302268634576312,0.04653579939207454,0.6288229536437985,1.0913271296736196,1.958472285830697,1.6910171646850907,1.658607952455967,2.2606910088975702,0.9096998888580773,0.8355190724296597,0.355100440218182,-0.10591071172981897,0.29515147031554995,1.350906058955808,1.0848591081562908,1.2458270354750414,1.7515166489092506,1.3893060166523348,-0.33220529851337466,0.32687453854778264,2.6104203610161956,1.2387284802770078,0.037857670288232045,0.29082227694439716,0.3202957407397931,0.7419674159761663,1.3851158965036547,0.4054551048426681,-0.702495489760219,0.12684731416454556,-0.8807644251783772,-0.09443044399921988,-0.748909104700591,-0.35443109648677174,-0.441485981502093,0.05441311404093078,-0.4329384732635961,0.06665468064599468
qwen-phase2-qwen2.5-32b-instruct-seed0-phase2,qwen2.5-32b-instruct-attn,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,32.0,64,40,4bit,bfloat16,0.08910175108970146,0.8250200596250861,0.8927394476490619,0.9267268171414687,0.27020933373341843,0.9956870353074468,0.6180575826432693,0.6729796027348244,0.8814017565834363,0.4943146817922807,0.3160477467792745,-0.8037917498107879,-0.43953276856987716,-0.09120850307357797,-0.1544709938142754,-0.5375754921760508,1.8467605805542526,0.7942241578756244,-0.07793451098834996,0.2801954978467896,-0.1446165263493095,0.14850387112301144,-0.20220118789860678,0.1290909116028339,-0.08352897549518651,-0.32420380332389076,0.04155139560471883,0.20845096940243926,0.35983531344942815,-0.10016386032693173,0.6415902407402863,1.694493623973914,2.071113581883708,2.1542410149920026,0.6842934654032714,1.2209415841750204,1.4923720567224,1.1474974769016812,1.0422452053843099,1.0179670123175242,-0.33220529851337466,0.14888879781760872,1.137320074301662,0.5536793853282403,0.21281156404744014,0.4704942005140148,-0.2612756451403988,0.4079828668491039,0.856745491791011,0.8049958724454189,0.7972117702296415,0.2637010339311505,2.044993263057841,0.9013451190188622,1.309689935746847,1.0287463969672865,0.6350884406034207,0.926535783117519,-0.4329384732635961,0.5602357099229083
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,-0.3740329222824304,0.1423523158561598,-0.06499386784761722,-0.39759441838099396,-0.11885999301325893,-0.3737344054039461,0.23640925171043228,0.27435723920038574,0.7693015041057509,0.3670890880424368,0.8919000557764764,1.1140534436568812,0.5637273681378602,0.9206078570765298,1.7149672138065915,1.6833545969083172,0.6608125466553533,1.3541751184519661,1.602005427531187,1.8868423902929983,-0.9428682999949308,0.005930167058421906,0.3829885778276667,-0.003882477262619619,-0.18738135359352284,-0.2584477725962049,0.3638749771026361,0.42331669508337516,0.40253686428521696,0.1939144467285322,-0.31533774919237656,-1.0453644317349222,-1.2056114210666962,-1.388959418231487,-0.3071326720656983,-0.3333077566017469,-0.9827810991049446,-0.8337404948055396,-0.5198684810639663,-0.5216620207366371,-0.33220529851337466,-0.4295979486174764,-0.7040552840915049,0.25828837124052906,-0.25581493709329617,0.2897179311243279,2.442245391924277,1.7419208450304149,-0.4837015940563374,0.02886084393045203,-0.2070564842278544,-0.16092667019514534,0.9435315451336177,0.17738668841694208,0.5581379051073062,0.12781058213334506,-0.441485981502093,-0.16955385793657413,-0.4329384732635961,-0.3168072281922263
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,0.15706288052599784,0.4214370382234381,0.6038350345994866,0.5278407992993965,0.4070176476462107,0.5844953765789728,0.7709503546466125,0.9417956344550706,0.3139854945197005,0.09363233741291004,1.059200276697079,-0.5557338901995575,-0.4977073008916473,-0.11608538238323556,-0.38981697943789906,0.5469647254602953,0.01460357070981877,0.13291864158924094,0.531021469129509,0.7120516525999416,-0.25511986688827376,-0.10441476551470008,0.5666661215105451,0.389866397232727,0.5142626374049682,0.8017832589494939,1.2377151320033126,0.7763262600792538,0.28213434656505226,0.3318631906642132,0.2885331611358985,-0.61720607673638,-0.820109345439104,0.01715519404497236,-0.6520771397820022,-0.2677856042100757,-0.4502189491962463,-0.4528342980572684,-0.8808727540171358,-0.5385541113209001,-0.33220529851337466,-0.7996979058056319,0.4007699309443953,1.0304986907875595,-0.4870040109893928,0.10499513376531663,-0.33986637296204636,-0.47866866230851607,-0.14533631025021063,0.15758809637209156,0.7034800664802754,0.5838054363449618,-0.6398196743824532,-0.4449193450656485,-0.748909104700591,-0.4724397582949677,-0.441485981502093,-0.5970747061290412,-0.4329384732635961,-0.8443185686950723
qwen-phase2-qwen2.5-coder-32b-instruct-seed0-phase2,qwen2.5-coder-32b-instruct-attn,qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,32.0,64,40,4bit,bfloat16,0.37661507958581597,0.7157213914990804,0.8582424189335297,0.8099163074771809,0.4623825984686106,0.7034886875071238,0.15237663331515994,0.26754686636254577,-0.3168125025326498,-0.1748313285996629,-0.10168491456161594,-0.9849577714137777,-0.6485963394464099,-0.7228489452287877,-0.7458058574568194,-1.1351451582591365,1.2335776680165544,0.6969392822864992,-0.6202447948560958,-0.007909610922415771,0.07864308093573903,0.433401306275036,0.42102929812296114,0.12808618015915882,0.006717218781523752,0.3560260941674763,-0.12868832176429204,0.2160785424744893,0.09366864286722963,-0.48159276114724603,0.2262668197457148,-0.7934825934011138,-0.45222265874303963,-0.006587718062359473,-0.24710372749548193,-0.26424226593329425,0.277520300167586,-0.24824591179326874,-0.6904899734531704,-0.3863844839387356,-0.33220529851337466,-1.0560375675295202,-0.7040552840915049,-0.14669239776586215,-0.3339193539500856,-0.31339098250948494,-0.4498933919123529,-0.5159289355863257,0.12795872667012245,0.29544749330117615,0.09422399210939449,-0.2291085426201886,1.7696278335767852,0.6634568408617731,3.1395557494779034,0.8330677536251596,3.4341819380777565,1.0633657859555723,2.4746976928524074,1.5007294271734395
qwen-phase2-qwen3-8b-seed0-phase2,qwen3-8b-attn,qwen3-8b,Qwen/Qwen3-8B,attn-hf,Qwen,Qwen3,base,8.0,36,32,8bit,bfloat16,0.6532699287866103,0.9853768403089035,1.1027528926317431,1.0883308322415775,0.9280950295842273,0.09967497000723222,0.7303760282500157,0.7009499876523173,0.7916765549662749,0.3612149075003148,0.5302539023863679,1.099923745145036,-1.1262430010815307,-1.1795864113125567,-1.113869225713003,0.3361629731995816,-1.2121418967578534,-1.357314973884827,-1.878585155319001,-1.1963647708085026,-1.1283977641745222,-0.4227313008932546,-0.4644137313196968,-0.07603565133449923,-0.1699357587288963,-1.0337065671600916,0.6804258054145542,0.429452694567029,0.48623016394459734,-0.10168107472888366,0.144956195798475,-0.685478992450968,-0.46815291945377446,-0.26664794372413747,0.1297225627979852,0.5100503827672924,0.0680333689335628,0.4009890694154202,0.07630928814771337,-0.5691827598485267,-0.33220529851337466,-0.24226249765601104,-0.7040552840915049,-2.0361988126262585,0.34949429354682165,-0.26361623239929816,-0.7799744487632727,0.015266425353979611,0.26460624513028913,-0.1896910573361983,1.6759464928799503,0.8163510057840289,1.2877383319849376,0.4580138479258771,-0.748909104700591,-0.0762507690159117,-0.441485981502093,0.3353514849806462,-0.4329384732635961,0.16364971678183057
