params_b,variant_a,variant_b,model_a,model_b,auc_delta_b_minus_a,fpr_delta_b_minus_a,fnr_delta_b_minus_a,risk_delta_b_minus_a,attack_instruction_ratio_delta_b_minus_a,selected_fraction_delta_b_minus_a,selected_depth_delta_b_minus_a,exact_head_jaccard,normalized_depth_cosine,signature_cosine
7.0,instruct,coder-instruct,qwen2.5-7b-instruct-attn,qwen2.5-coder-7b-instruct-attn,0.01577380952380969,0.125,-0.08333333333333334,0.07640886288337773,-0.024351685618360847,0.005102040816326529,-0.05467372134038789,0.3333333333333333,0.7821929486806612,0.11908121093790175
14.0,instruct,coder-instruct,qwen2.5-14b-instruct-attn,qwen2.5-coder-14b-instruct-attn,-0.0008928571428572507,0.3928571428571429,0.0,0.010013780311750486,0.019106941111385806,-0.0078124999999999965,0.05264554677666383,0.3375,0.8579373880476309,0.32229563323215404
32.0,instruct,coder-instruct,qwen2.5-32b-instruct-attn,qwen2.5-coder-32b-instruct-attn,-0.037797619047619135,0.0714285714285714,0.016666666666666666,-0.015775904718568268,0.01310424618422984,0.0011718750000000028,0.10188089974383252,0.2393617021276596,0.8931322374910962,0.32210193750510135
